,pfpr_underfives,pfpr_overfive,ci_underfives,ci_overfive,annual EIR,coverage_pair,group
48,0.2079455290626,0.3930264251858,1.694898167625,1.044574377156,10.774576565532875,"[0.5, 0.3]",0.5
49,0.4162904393522,0.4801041334776,3.374433643883,0.9457328086719,35.281880673027665,"[0.5, 0.3]",0.5
50,0.27775341592,0.4459208872889,3.215698698536,1.000907240552,24.890669329857513,"[0.7, 0.5]",0.7
51,0.5326107751928,0.4942888132686,3.999853283982,0.8256102818996,61.6560884817981,"[0.5, 0.3]",0.5
52,0.2890784124722,0.478860912317,4.592137751402,1.001856488583,40.56558911460173,"[0.85, 0.65]",0.85
53,0.6582083107088,0.5075199428903,4.839284167858,0.7049388987361,152.72683898119496,"[0.5, 0.3]",0.5
54,0.3818728716341,0.4880663535596,4.086620482965,0.9409297796083,43.4971515491262,"[0.7, 0.5]",0.7
55,0.5199906425858,0.5038486484169,5.415711842943,0.7313995624427,107.74576565532877,"[0.7, 0.5]",0.7
56,0.5802515406986,0.5054219694384,5.840872634668,0.6796387920622,175.59875150361248,"[0.7, 0.5]",0.7
57,0.4646135319566,0.4863855146999,3.657976963324,0.8888586886169,46.64056985694358,"[0.5, 0.3]",0.5
58,0.3172778453696,0.4953790444209,4.922004797845,0.9786130725115,50.01115427348331,"[0.85, 0.65]",0.85
59,0.4414197565418,0.5101835094831,6.539720080909,0.7513889606344,123.88144778669934,"[0.85, 0.65]",0.85
60,0.7116151379544,0.5029498285801,5.071760172723,0.6019975704839,286.18221182135545,"[0.5, 0.3]",0.5
61,0.4868028126122,0.5036910033846,7.274815826095,0.6131085996167,201.8958929243871,"[0.85, 0.65]",0.85
62,0.3917879524355,0.4984100283324,5.847627049545,0.7910831311019,87.39591241007777,"[0.85, 0.65]",0.85
63,0.5293973563436,0.5110004280948,7.566392105073,0.600878913654,329.03999999999996,"[0.85, 0.65]",0.85
64,0.5055413545533,0.5092507738816,7.339105169522,0.6352400779724,216.48634824132623,"[0.85, 0.65]",0.85
65,0.5897554093506,0.5017072899396,4.405145991594,0.7502161990851,87.39591241007777,"[0.5, 0.3]",0.5
66,0.6017133948822,0.5104690567281,5.851500912569,0.6321823582985,216.48634824132623,"[0.7, 0.5]",0.7
